name,address,longitude,latitude,type
COLORADO PLUS BREWPUB,6995 W 38TH AVE ,-105.0741686,39.76965104,Restaurant/Brewpub
FIVE FRIDGES FARM,11100 W 38TH AVE ,-105.1227585,39.76857319,Retail
RX PLUS PHARMACIES,3660 WADSWORTH BLVD ,-105.0809088,39.76806378,Retail
JOYERIA IDOLO DEORO,3700 WADSWORTH BLVD ,-105.0811737,39.76838042,Retail
MANTRA TATTOO,3865 WADSWORTH BLVD ,-105.0819217,39.7706122,Retail
SMOKERS IN CHOICE LLC.,3875 WADSWORTH BLVD ,-105.0819218,39.77059848,Retail
ADVANTAGE WIRELESS,3914 WADSWORTH BLVD ,-105.0800925,39.77190693,Retail
BORIS BOOT & SHOE REPAIR,4254 WADSWORTH BLVD ,-105.0801817,39.77423245,Retail
BUY-BACK GAMES  INC.,4325 WADSWORTH BLVD ,-105.0824829,39.77554735,Retail
EMBROIDERY MADNESS LLC,4485 WADSWORTH BLVD STE 201,-105.0820787,39.77828839,Retail
ROSS DOUBLE BASS INC,5455 W 38TH AVE UNIT F,-105.0559105,39.76985536,Retail
ORNAMENTAL BEADS LLC,5712 W 38TH AVE ,-105.0595297,39.76908656,Retail
STEVEN PARKS MASTER GOLDSMITH,5870 W 38TH AVE ,-105.0610453,39.76907026,Retail
7-ELEVEN STORE #36492H,5995 W 38TH AVE ,-105.0623294,39.76966252,Retail
THE BICYCLE BROKER,6190 W 38TH AVE UNIT 2,-105.0644674,39.76908846,Retail
DELANEY ORGANICS,6279 W 38TH AVE STE 1,-105.066288,39.76978973,Retail
WHEAT RIDGE PROFESSIONAL PHARMACY,6650 W 38TH AVE ,-105.0700844,39.76910911,Retail
"THE GATHERING SPOT, LLC.",6690 W 38TH AVE ,-105.0707036,39.76908392,Retail
FOUR SQUARE FRAMING LLC,6690 W 38TH AVE ,-105.0707036,39.76908392,Retail
CRESS TILE AND LINOLEUM CO.,6770 W 38TH AVE ,-105.0713792,39.76912481,Retail
FOUR SEASONS FARMERS AND ARTISANS MARKET,7043 W 38TH AVE ,-105.0752663,39.7699158,Retail
A-1 RENTAL SERVICE LTD,7080 W 38TH AVE ,-105.0759296,39.76906443,Retail
WHEAT RIDGE CYCLERY,7085 W 38TH AVE ,-105.0760508,39.76961116,Retail
POSEY GIRL FLOWERS AND GIFTS,7210 W 38TH AVE ,-105.0774657,39.76917152,Retail
CASH N COLLECTIBLES LLC,7220 W 38TH AVE ,-105.0776945,39.76899116,Retail
MERAKI CAKES & BAKES LLC,7250 W 38TH AVE ,-105.0776945,39.76899116,Retail
SUITE SUCCESS DRYCLEANERS,7777 W 38TH AVE UNIT A112,-105.0833003,39.77030688,Retail
THE AVENUE CONSIGNMENT BOUTIQUE,7777 W 38TH AVE UNIT A114,-105.0833003,39.77030688,Retail
CLAY HILL FARMS LLC,9099 W 38TH AVE ,-105.0987962,39.76976774,Retail
THE 420 GAMES,9690 W 38TH AVE ,-105.106004,39.76905911,Retail
MS WHEAT RIDGE MANAGEMENT CO LLC,10100 W 38TH AVE ,-105.1114442,39.76888777,Professional
WHEAT RIDGE DENTAL GROUP,10135 W 38TH AVE ,-105.1111782,39.77003714,Medical
"M R LAND, LLC",10135 W 38TH AVE ,-105.1111782,39.77003714,Professional
"ANDRE VETERINARY GROUP, LLC",10474 W 38TH AVE ,-105.115392,39.76907094,Animal
INTEGRITY GLASS LLC,10695 W 38TH PL ,-105.1179356,39.77036673,Professional
TOM KLINGER,11735 W 38TH AVE ,-105.1282251,39.76944709,Professional
EVOLVE NUTRITION THERAPY LLC,11940 W 38TH AVE ,-105.1330014,39.76833928,Fitness
CHILD PRIORITY PRESCHOOL,12200 W 38TH AVE ,-105.1352274,39.76784382,Preschool
ALL ABOUT CABINETS & COUNTERTOPS,3502 WADSWORTH BLVD ,-105.0810202,39.76608761,Professional
BATTISTA DESIGN GROUP P.C.,3650 WADSWORTH BLVD ,-105.0811208,39.76771315,Professional
EASY LEGAL OF COLORADO,3845 WADSWORTH BLVD ,-105.0819396,39.77059854,Professional
LIBERTY TAX,3885 WADSWORTH BLVD ,,,Professional
T & P HAIR SALON INC,3918 WADSWORTH BLVD ,,,Salon
FIVE STAR NAILS AND SPA LLC,3922 WADSWORTH BLVD ,-105.0800885,39.77198104,
JOSEPH P. SCHERBER,4045 WADSWORTH BLVD STE 103,-105.0820919,39.77250427,Medical
STATE FARM INSURANCE,4045 WADSWORTH BLVD STE 112,-105.0820919,39.77250427,Professional
MOUNTAIN STATES HAND AND PHYSICAL THERAPY INC,4045 WADSWORTH BLVD STE 210,-105.0820919,39.77250427,Medical
ACUPUNCTURE & WELLNESS CTR,4045 WADSWORTH BLVD STE 220,-105.0820248,39.77240794,Medical
"ELIZABETH BASSOW-SCHEVE, MD, PC",4045 WADSWORTH BLVD STE 250,-105.0820248,39.77240794,Medical
"RONALD J. MALPIEDE, DC, PC",4045 WADSWORTH BLVD STE 300,-105.0820747,39.77240263,Medical
"ERICA L. CWALINA, DC",4045 WADSWORTH BLVD STE 300,-105.0820747,39.77240263,Medical
"VIRTUAL ASSESSMENTS, LLC",4045 WADSWORTH BLVD STE 306,-105.0820814,39.77246031,Professional
"WOLFSONG WELLBEING, LLC",4045 WADSWORTH BLVD SUITE 100,-105.0820814,39.77246031,Medical
"ROGUE ARCHITECTURE, INC.",4100 WADSWORTH BLVD STE 300,-105.0797324,39.77263862,Professional
PEARMAN LAW FIRM PC,4195 WADSWORTH BLVD ,-105.0817672,39.77384278,Professional
WHEAT RIDGE POST OFFICE,4210 WADSWORTH BLVD ,-105.0796884,39.77344556,
BOATRIGHT  RIPP  LLC,4315 WADSWORTH BLVD ,-105.0825301,39.77537183,Professional
STEPHENIE D LORIMER PC,4350 WADSWORTH BLVD STE 240,-105.080809,39.77582965,Medical
ASPIRE TECHNOLOGY SOLUTIONS INC.,4350 WADSWORTH BLVD STE 275,-105.080809,39.77582965,Professional
ENOCKSON LAW LLC.,4350 WADSWORTH BLVD STE 300,-105.080809,39.77582965,Professional
"G. H. FLEISCHAKER, MD",4350 WADSWORTH BLVD STE 301,-105.080809,39.77582965,Medical
"YELENA KHAYUT, MD",4350 WADSWORTH BLVD STE 301,-105.080809,39.77582965,Medical
TRAILHEAD DENTAL,4350 WADSWORTH BLVD STE 360,-105.080809,39.77582965,Medical
COLORADO SURGICAL SERVICE  PC,4350 WADSWORTH BLVD STE 401,-105.080809,39.77582965,Medical
WHEAT RIDGE CHIROPRACTIC & ACUPUNCTURE,4350 WADSWORTH BLVD STE 430,-105.080809,39.77582965,Medical
JACKSON HEWITT TAX SERVICE,4385 WADSWORTH BLVD ,-105.0818338,39.77580585,Professional
"THOMAS G. BROOKES, OD",4485 WADSWORTH BLVD ,-105.0820966,39.77827473,Medical
SPECIAL TOUCH SALON AND BEAUTY SUPPLY,4485 WADSWORTH BLVD STE 109,,,Salon
PATHWAYS OF ENLIGHTENMENT,4485 WADSWORTH BLVD STE 110,-105.0821144,39.77827479,Medical
DRAGONS LAIR MARTIAL ARTS CLUB LLC,4485 WADSWORTH BLVD STE 201,-105.0820787,39.77828839,Fitness
"ROCKY MOUNTAIN ACUPUNCTURE, LLC.",4485 WADSWORTH BLVD STE 204,-105.0821143,39.77828852,Medical
CHOICES WHEAT RIDGE,4485 WADSWORTH BLVD STE 206,,,Professional
MODERN NAILS,5345 W 38TH AVE ,-105.0554586,39.76986738,Salon
"DENVER DEEP, LLC",5455 W 38TH AVE STE C,-105.0559105,39.76985536,Health
WHOLEHEARTEDLY WELLBEING LLC,5455 W 38TH AVE SUITE C,-105.0559105,39.76985536,Health
MOTION FITNESS AND MASSAGE,5455 W 38TH AVE UNIT B,-105.0559105,39.76985536,Health
"STYLES REYNA SALON, INC.",5455 W 38TH AVE UNIT E,-105.0559105,39.76985536,Salon
ALANO WAYFARERS INC,5455 W 38TH AVE UNIT M,-105.0559105,39.76985536,Professional
PREMIER VETERINARY HOSP,5500 W 38TH AVE ,-105.0570537,39.769091,Animal
"29 DEGREES, LLC.",5515 W 38TH AVE ,-105.0574173,39.76953435,Fitness
AMERICAN EAGLE TAX AND ACCOUNTING,5790 W 38TH AVE ,-105.0601099,39.76902834,Professional
SANTOSHA YOGA,5810 W 38TH AVE STE 3,-105.0610453,39.76907026,Fitness
TRIO SALON ON THE BLVD,5815 W 38TH AVE ,-105.0606134,39.76986477,Salon
BEST COUNSELING,5830 W 38TH AVE ,-105.0610453,39.76907026,Medical
PLUMBLINE PILATES INC.,5850 W 38TH AVE ,-105.0610453,39.76907026,Fitness
DANNY'S BARBER SHOP,5880 W 38TH AVE ,-105.0610453,39.76907026,Salon
FIDO'S GRUB-N-TUB LLC.,5883 W 38TH AVE ,-105.0616426,39.76968742,Animal
SCHULTZBURREY LLC.,5883 W 38TH AVE ,-105.0616426,39.76968742,Health
HOME COLLECTIVE LLC,6101 W 38TH AVE ,-105.0639761,39.76972628,Fitness
HOME WHERE BODY AND MIND ALIGN LLC,6101 W 38TH AVE ,-105.0639761,39.76972628,Fitness
"STERLING WELLNESS SERVICES, LLC",6101 W 38TH AVE ,-105.0639761,39.76972628,Health
AMERICAN TAX AND BOOKEEPING SVC,6145 W 38TH AVE ,-105.064574,39.76967359,Professional
VINYL WORKS,6190 W 38TH AVE UNIT 4,-105.0644674,39.76908846,Professional
CHRISTOPHER HOUSE,6270 W 38TH AVE ,-105.065909,39.76837179,Health
ASPIRE TOURS LLC,6275 W 38TH AVE ,-105.0657796,39.76973569,Professional
BLISSFUL MED SPA LLC,6279 W 38TH AVE STE 3,-105.066288,39.76978973,Health
HAPPY HEALTH LIFE LLC,6279 W 38TH AVE STE 4,-105.066288,39.76978973,Health
GREATER DENVER INTEGRATIVE GYNECOLOGY,6279 W 38TH AVE STE 4,-105.066288,39.76978973,Medical
PONDEROSA NATURAL MEDICINE,6279 W 38TH AVE STE 4,-105.066288,39.76978973,Health
HERITAGE VISION,6280 W 38TH AVE ,-105.0660257,39.76906128,Media
SAM'S BARBER SHOP,6289 W 38TH AVE ,-105.0664169,39.76965294,Salon
HOLLAND CHIROPRACTIC CENTER,6295 W 38TH AVE ,-105.0666871,39.76968413,Health
"NORMAN W. EBNER, DDS",6605 W 38TH AVE ,-105.0701656,39.76979571,Medical
A MAGIC TOUCH,6656 W 38TH AVE ,-105.0700844,39.76912284,Health
ELLA CRESSMAN,6658 W 38TH AVE ,-105.0700843,39.76913656,Salon
KRISTINAS,6660 W 38TH AVE ,-105.0700666,39.76912277,Salon
CRESCENDO FINE AUDIO,6760 W 38TH AVE ,-105.0713614,39.76913847,Professional
HELM DENTAL AND DENTURE CLINIC,6785 W 38TH AVE ,-105.0713905,39.76960527,Medical
FARMERS INSURANCE,6810 W 38TH AVE ,-105.0728746,39.76892436,Professional
"CO INSURANCE SPECIALIST, LLC.",6990 W 38TH AVE STE 200,-105.0742051,39.76891271,Professional
"WHEAT RIDGE OFFICE, LLC",6990 W 38TH AVE STE 300,-105.0742051,39.76891271,Professional
"MERKWOOD CONSTRUCTION, LLC.",6990 W 38TH AVE STE 300,-105.0742051,39.76891271,Professional
"MARRA AND LEAVITT, LLC",6990 W 38TH AVE SUITE 102,-105.0742051,39.76891271,Health
"HORIZON III, LLC",6990 W 38TH AVE SUITE 301,-105.0742051,39.76891271,Health
VIP ZHEN ZHEN SPA LLC,6990 W 38TH AVE SUITE 302,-105.0742051,39.76891271,Health
KRIYA YOGA CENTER,7014 W 38TH AVE ,-105.0748868,39.76913204,Fitness
ASPEN HILL DENTAL,7015 W 38TH AVE ,-105.0748904,39.76972228,Medical
KATHY SHELTON PILATES LLC.,7047 W 38TH AVE ,-105.0756592,39.76964544,Fitness
BIZARRE HAIR FASHIONS,7053 W 38TH AVE ,-105.075647,39.76991168,Salon
LUCID STUDIO LLC,7190 W 38TH AVE UNIT B,-105.0771242,39.76916481,Professional
AQUA SALON,7200 W 38TH AVE ,-105.0776945,39.76899116,Salon
WHEAT RIDGE LEARNING ACADEMY,7300 W 38TH AVE ,-105.0779781,39.76915689,Preschool
CLEAN CENTER,7420 W 38TH AVE ,-105.0792661,39.76912032,Laundromat
SPECIAL NAILS,7490 W 38TH AVE ,,,Salon
ROCKY MOUNTAIN  FOOT AND ANKLE CENTER  PC,7615 W 38TH AVE UNIT B101,-105.0826266,39.7699284,Medical
TOUCHSTONE MEDICAL IMAGING LLC,7615 W 38TH AVE UNIT B107 AND B115,-105.0826266,39.7699284,Medical
UNITED FOOD AND COMM WKRS # 7,7760 W 38TH AVE ,-105.0841749,39.76858597,Professional
UNITED FOOD AND COMMERCIAL WORKERS NO. 7R BUILDING ASSOC.,7760 W 38TH AVE ,-105.0841749,39.76858597,Professional
WHEATRIDGE ORAL SURG,7760 W 38TH AVE STE 102,-105.0841749,39.76858597,Medical
FROM THE GROUND UP INSPECTION LLC,7770 W 38TH AVE APT 209,-105.0843559,39.76805679,Professional
"CLEAR CREEK SURGERY CENTER, LLC",7809 W 38TH AVE ,-105.084169,39.77018642,Medical
WHEAT RIDGE INTERNAL MEDICINE,7821 W 38TH AVE ,-105.0840254,39.7709985,Medical
COMPLETE ACCOUNTING SOLUTIONS,7823 W 38TH AVE ,-105.0845495,39.7696195,Professional
PAULA M TOMKO   ATTY AT LAW,7827 W 38TH AVE ,-105.0847309,39.76962289,Professional
"PREVENTIVE HEALTH CARE FOR WOMEN, P.C.",7829 W 38TH AVE ,-105.0848233,39.76963968,Medical
ALTITUDE PHYSICAL THERAPY,7833 W 38TH AVE ,-105.0847297,39.76982328,Medical
UPLIFT INTERNATIONALE,7837 W 38TH AVE ,-105.0845483,39.76981441,Medical
JAMES R. CULVER  INC,7853 W 38TH AVE ,-105.0845494,39.77083014,Professional
"COLORADO NETWORK SYSTEMS, LLC.",7853 W 38TH AVE UNIT 4,-105.0845494,39.77083014,Professional
COLO CONGRESS OF PTA,7859 W 38TH AVE ,-105.0846889,39.77070161,Professional
PETE L RAMIREZ     ATTY AT LAW,7867 W 38TH AVE ,-105.0845839,39.7710087,Professional
EXEMPLA LUTHERAN SENIOR SVCS,8300 W 38TH AVE ,-105.0904829,39.76847083,Medical
ROCKY MOUNTAIN PULMONARY AND CRITICAL,8550 W 38TH AVE STE 202,-105.0929758,39.76861124,Medical
FRONT RANGE ROOFING & CONSTRUCTION,8850 W 38TH AVE STE A,-105.0957903,39.76912881,Professional
"EDWARD P. SHERLOCK, DDS, PC",8850 W 38TH AVE STE C,-105.0957902,39.76914253,Medical
ORTHODONTIC SPECIALISTS  PC,8852 W 38TH AVE ,-105.0962038,39.76897924,Medical
COLONNADE REAL ESTATE SERVICES,8888 W 38TH AVE ,-105.0964346,39.76904317,Professional
WIDE HORIZON  INC,8900 W 38TH AVE ,-105.0974548,39.76795681,Medical
ADAM HJERMSTAD,9630 W 38TH AVE ,-105.1052283,39.7690922,Medical
ADAM HJERMSTAD,9630 W 38TH AVE ,-105.1052283,39.7690922,Medical
"WADSWDF, INC.",3855 WADSWORTH BLVD ,-105.0819395,39.77061227,
YU QI LLC,3920 WADSWORTH BLVD ,,,
SPACE LTD,4045 WADSWORTH BLVD STE 306,-105.0820814,39.77246031,
"KREATIVE PROJEKTS, LLC",7190 W 38TH AVE UNIT A,-105.0771243,39.76915108,
TJCO INC,7777 W 38TH AVE STE A104,-105.0833003,39.77030688,
Tazza Coffee,5455 W 38th Ave I,-105.055988,39.769765,Coffee
Safeway,3900 Wadsworth Blvd,-105.079940,39.771044,Grocery
